region	n	trait	results	abbreviation	category	color
region_chr6_24852047_25684359	2	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr6_26791023_28050041	4	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr8_7295557_9297184	29	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_1192365_3644251	226	BCAC_Overall_BreastCancer_EUR	spredixcan_sqtl	BC	Cancer	#A0A0A0
region_chr11_13351577_15721006	17	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr12_109898914_112825713	1265	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr13_48809826_51016955	52	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr17_57280180_59410151	6	UKB_20016_Fluid_intelligence_score	spredixcan_sqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr17_7414079_8403107	5	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr19_44239955_45599439	15	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr1_151566405_153208353	2	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr1_201620847_203365606	43	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr22_44599428_46074615	32	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr2_19492643_20850730	36	MAGNETIC_IDL.TG	spredixcan_sqtl	IDL	Cardiometabolic	#004000
region_chr2_223994702_224975287	18	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr2_236540389_237852338	5	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_26672117_28375910	717	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_2841252_3844313	2	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr4_2841252_3844313	2	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_sqtl	HC_UKBS	Cardiometabolic	#004000
region_chr4_86613495_88316876	10	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr5_157201689_159398690	3	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	spredixcan_sqtl	BLDP3_UKB	Hair morphology	#808000
region_chr6_30830391_31603441	3137	UKB_20002_1453_self_reported_psoriasis	spredixcan_sqtl	PSO_UKBS	Immune	#40A0A0
region_chr6_31603441_32714887	2049	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr6_31603441_32714887	10	UKB_20127_Neuroticism_score	spredixcan_sqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr6_6784974_7808703	64	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr9_136047132_136605890	717	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr10_87367307_89253624	5	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr11_116512631_117876395	110	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_sqtl	HC_UKBS	Cardiometabolic	#004000
region_chr11_117876395_119344766	239	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr15_62923023_64812469	289	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr15_71630310_73336373	41	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr17_15115780_16509028	1252	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr17_38653091_40721152	506	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_sqtl	IBD	Immune	#40A0A0
region_chr19_46646825_48778970	74	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr1_100360849_101575460	414	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr1_1961168_3666172	76	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr1_44503511_46433829	347	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr1_7187275_9305140	50	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_sqtl	ATH_UKB	Immune	#40A0A0
region_chr21_33853161_35152076	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr2_10133_1777250	714	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_181401304_183492880	1	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr2_23118512_24464049	195	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr2_84913556_87738988	205	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_56399879_58171792	322	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr4_37253425_38905401	1	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_115810232_117351809	12	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_32714887_33268720	110	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr6_73924_1452127	16	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr7_36173929_37515581	26	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr8_23039544_24817205	7	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr10_61581937_64034354	49	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr10_68436234_70461094	15	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr11_15721006_17556855	19	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr12_108632125_109898914	24	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr15_40885316_42484201	17	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr15_80568637_83591716	10	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr17_41743558_43694719	271	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr1_20142656_21410095	107	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_241908300_243946197	40	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr1_247181216_248945267	1	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr1_70906787_71218722	100	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr20_63558827_64333810	698	UKB_20002_1452_self_reported_eczema_or_dermatitis	spredixcan_sqtl	ECZ_UKBS	Allergy	#FFFF00
region_chr2_102072305_102971757	188	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_sqtl	ATH_UKB	Immune	#40A0A0
region_chr2_60064865_62201909	7	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr3_51797999_54047363	1843	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_152773361_154652986	7	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_sqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr6_157797687_160159465	44	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_29770194_30830391	1358	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr6_29770194_30830391	190	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr6_33268720_35487979	3	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr9_132423455_134176000	2	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr10_68140391_68436234	372	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_69701362_71215246	5	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr13_26710225_28683414	1	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr15_66802429_68725660	4	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr15_73336373_76106283	830	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr16_10332175_11426305	81	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr18_23069508_25416687	185	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr18_69508584_70953943	3	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr1_107867043_109761309	5	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr20_34225635_36332043	4053	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr2_141761033_143761915	10	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr2_241210506_242147200	588	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr4_142522112_145257035	2	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr4_149762428_151861032	128	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_170078660_171647288	7	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr5_171647288_173251324	26	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_133923105_135903039	36	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr6_157797687_160159465	1	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr6_29770194_30830391	145	UKB_20002_1313_self_reported_ankylosing_spondylitis	spredixcan_sqtl	ASP_UKBS	Immune	#40A0A0
region_chr9_132423455_134176000	273	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	spredixcan_sqtl	PE_UKB	Cardiometabolic	#004000
region_chr9_20463536_22206560	1	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr10_124109830_126312529	3	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr10_68140391_68436234	317	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr11_70855_1192365	136	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr15_49715846_51385363	69	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr17_47798656_49440038	19	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr17_57280180_59410151	49	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr17_57280180_59410151	49	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr1_44503511_46433829	210	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr2_31327584_33138710	2	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	spredixcan_sqtl	BLDP3_UKB	Hair morphology	#808000
region_chr4_2841252_3844313	47	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_127219316_129539886	9	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_28050041_28949831	29	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr6_30830391_31603441	1748	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr6_30830391_31603441	1917	UKB_20002_1313_self_reported_ankylosing_spondylitis	spredixcan_sqtl	ASP_UKBS	Immune	#40A0A0
region_chr6_43788432_45438826	67	RA_OKADA_TRANS_ETHNIC	spredixcan_sqtl	RA	Immune	#40A0A0
region_chr7_6534226_7769121	7	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr9_91404921_93909416	46	UKB_20127_Neuroticism_score	spredixcan_sqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr10_46978910_49632869	7	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr13_112918174_114344378	666	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr15_73336373_76106283	228	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr16_84412277_85115079	26	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr17_74676064_76379479	17	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_44239955_45599439	3	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr19_46646825_48778970	132	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr19_48778970_51029311	99	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr1_151566405_153208353	12	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr1_44503511_46433829	135	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr2_24464049_26672117	252	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr2_54458089_55976210	92	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr2_68912432_70528066	964	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_123221211_124462407	11	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr5_38802308_40287627	18	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_157797687_160159465	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr6_25684359_26791023	74	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr8_11421489_13634266	52	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr8_41863936_42918680	166	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr10_58530227_60131651	1	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_111243672_112588765	26	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr11_13351577_15721006	19	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_74701306_77086163	83	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr12_109898914_112825713	118	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr15_73336373_76106283	517	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr16_8288517_9705562	15	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_610729_2098397	28	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr1_204711940_206268085	139	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr1_226623159_229020501	81	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr1_22760390_23594100	59	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr1_91420760_93070902	222	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr22_37174229_38911889	360	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr2_35896940_37905569	121	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr2_46255495_47091633	330	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_88094174_89595713	49	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr6_25684359_26791023	759	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr6_43788432_45438826	27	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr7_137191815_139059933	16	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr7_16862445_19441924	1	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	spredixcan_sqtl	BLDP2_UKB	Hair morphology	#808000
region_chr8_100608730_103111078	60	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr8_127646866_129368893	16	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr8_7295557_9297184	201	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr8_9783277_10605687	1	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr9_136047132_136605890	129	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr12_109898914_112825713	1358	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr12_8224940_8878799	9	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_104535386_105874495	209	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr14_34377045_35390387	134	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr15_101012489_101980763	6	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr15_64812469_66802429	299	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr16_65904663_68807460	934	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr17_82076532_83247139	16	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr19_43358303_44239955	46	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr1_159943258_162376931	1	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr1_212668988_214404923	2	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr1_23594100_25190354	74	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr20_48583442_50623121	738	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_185350467_187172556	1	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_sqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr4_24133906_25607700	7	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr4_82451440_83878503	27	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr5_153488214_154393528	1	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr6_32714887_33268720	164	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr7_28320690_31097675	7	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr7_31097675_33516156	10	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_7295557_9297184	193	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr9_136605890_138254346	34	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr10_61581937_64034354	49	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr12_109898914_112825713	1268	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr14_101067970_102545765	69	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr14_102545765_104535386	24	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr17_1269105_2025437	4	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr19_32255614_33772047	27	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr19_37036131_39679979	1	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr1_11717784_12719464	277	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr1_20142656_21410095	94	UKB_20127_Neuroticism_score	spredixcan_sqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr20_24737088_25363595	249	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr22_19924835_22002927	289	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	spredixcan_sqtl	SLE	Immune	#40A0A0
region_chr2_43082452_44086664	50	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr3_140235755_141620255	20	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr5_132803957_135441711	414	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_94474279_96627815	76	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr6_30830391_31603441	1670	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr6_30830391_31603441	1806	RA_OKADA_TRANS_ETHNIC	spredixcan_sqtl	RA	Immune	#40A0A0
region_chr7_4533797_5376601	24	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_19635329_20203345	2	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_sqtl	HC_UKBS	Cardiometabolic	#004000
region_chr9_89827251_91404921	79	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
